Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
90,https://clearview.libnet.info/event/14226795,Bookmobile Stop at Ravina Park - Clearview Library District,./reports/90.html,10,1,9,23,1
91,https://clearview.libnet.info/event/14226813,Bookmobile Stop at Greenspire - Clearview Library District,./reports/91.html,10,1,9,23,1
92,https://clearview.libnet.info/event/14325189,Bookmobile Stop at The Ridge Park - Clearview Library District,./reports/92.html,10,1,9,23,1
93,https://clearview.libnet.info/event/14179247,Edgy Pages Book Club - Clearview Library District,./reports/93.html,8,1,6,21,0
94,https://clearview.libnet.info/event/14160843,Babies and Books - Clearview Library District,./reports/94.html,9,1,8,20,0
95,https://clearview.libnet.info/event/14610911,Adaptive Storytime with ASL - Clearview Library District,./reports/95.html,10,1,7,21,1
96,https://clearview.libnet.info/event/14161332,Stay and Play - Clearview Library District,./reports/96.html,9,1,8,20,0
97,https://clearview.libnet.info/event/14226832,Bookmobile Stop at Poudre Heights Park - Clearview Library District,./reports/97.html,10,1,9,23,1
98,https://clearview.libnet.info/event/14173507,Kids in the Kitchen - Clearview Library District,./reports/98.html,9,1,8,20,0
99,https://clearview.libnet.info/event/14226840,Bookmobile Stop at Founders Green Park - Clearview Library District,./reports/99.html,10,1,9,23,1
